============================================================
WORKSPACE AGGREGATE (NON-CANONICAL)
Commit: 4687cbe12958f183cb56bcc3f0e0da6e0a062a8d
Timestamp: 2026-05-19T21:53:53.208Z
⚠️  WARNING: This is a debug/aggregate dump and may include legacy or archived projects.
============================================================

=== cross-map-strict-vs-how-to.md ===
# Cross-Map: Strict Code Review vs How-To Deviations

Generated: 2026-05-19T23:31:00+02:00

## 1. Findings Appearing In Both Reports

| Source DR | Strict ID | How-to ID | Severity | Unit | Difference in meaning |
|---|---|---|---|---|---|
| `DR-0039` | SCR-0665 | HTD-0668 | HIGH | `components/HTTP` | strict explains broken-reference correctness/public boundary impact; how-to cites violated governance source `how-to-coding-standards.md; AGENTS.md §18; tooling/refactor/check-broken-reference-semantics.php` |
| `DR-0001` | SCR-0001 | HTD-0001 | MEDIUM | `components/API/Contracts` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0002` | SCR-0002 | HTD-0002 | MEDIUM | `components/DeveloperTools/Documentation/Api` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0003` | SCR-0003 | HTD-0003 | MEDIUM | `components/DeveloperTools/DumpDebugger` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0004` | SCR-0004 | HTD-0004 | MEDIUM | `components/HTTP/Client` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0005` | SCR-0005 | HTD-0005 | MEDIUM | `components/Identity/Security` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0006` | SCR-0006 | HTD-0006 | MEDIUM | `components/Integration/ObjectStorage` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0007` | SCR-0007 | HTD-0007 | MEDIUM | `components/Operations/BackgroundProcesses` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0008` | SCR-0008 | HTD-0008 | MEDIUM | `components/Operations/Delivery` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0009` | SCR-0009 | HTD-0009 | MEDIUM | `components/Operations/MemoryLifecycle` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0010` | SCR-0010 | HTD-0010 | MEDIUM | `components/Operations/Realtime` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0011` | SCR-0011 | HTD-0011 | MEDIUM | `components/Operations/RuntimeSupervision` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0012` | SCR-0012 | HTD-0012 | MEDIUM | `components/Security/DataProtection` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0013` | SCR-0013 | HTD-0013 | MEDIUM | `components/Security/Privacy` | strict explains design/correctness impact; how-to cites violated governance source `how-to-unit-test.md; how-to-design-components.md §4` |
| `DR-0014` | SCR-0014 | HTD-0014 | MEDIUM | `components/API/ApiBlueprint` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0015` | SCR-0015 | HTD-0015 | MEDIUM | `components/API/Contracts` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0016` | SCR-0016 | HTD-0016 | HIGH | `components/API/GraphQL` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0017` | SCR-0017 | HTD-0017 | HIGH | `components/API/OpenAPI` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0018` | SCR-0018 | HTD-0018 | MEDIUM | `components/API/SchemaGeneration` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0019` | SCR-0019 | HTD-0019 | MEDIUM | `components/Application/FeatureFlags` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0020` | SCR-0020 | HTD-0020 | MEDIUM | `components/Application/Localization` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0021` | SCR-0021 | HTD-0021 | MEDIUM | `components/CLI/Console` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0022` | SCR-0022 | HTD-0022 | MEDIUM | `components/DataStack/Data` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0023` | SCR-0023 | HTD-0023 | HIGH | `components/DataStack/DataTransfer` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0024` | SCR-0024 | HTD-0024 | MEDIUM | `components/DataStack/Persistence` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0025` | SCR-0025 | HTD-0025 | MEDIUM | `components/DeveloperTools/CodeGeneration` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0026` | SCR-0026 | HTD-0026 | MEDIUM | `components/DeveloperTools/Diagnostics` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0027` | SCR-0027 | HTD-0027 | MEDIUM | `components/DeveloperTools/DumpDebugger` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0028` | SCR-0028 | HTD-0028 | MEDIUM | `components/DeveloperTools/Dx` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0029` | SCR-0029 | HTD-0029 | MEDIUM | `components/DeveloperTools/TestSupport` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0030` | SCR-0030 | HTD-0030 | HIGH | `components/Foundation/CallableSerialization` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0031` | SCR-0031 | HTD-0031 | MEDIUM | `components/HTTP/AfterResponse` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0032` | SCR-0032 | HTD-0032 | MEDIUM | `components/HTTP/ContentNegotiation` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0033` | SCR-0033 | HTD-0033 | MEDIUM | `components/HTTP/Context` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0034` | SCR-0034 | HTD-0034 | HIGH | `components/HTTP/Dispatcher` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
| `DR-0035` | SCR-0035 | HTD-0035 | HIGH | `components/HTTP/Security` | strict explains design/correctness impact; how-to cites violated governance source `how-to-dependency-injection.md §4.0; how-to-design-components.md §6.5` |
